i	j	x	r	mach	theta	press	temp	Massflow
100	86	0.872782	0.747176	1.77982	12.7686	2.73606	768.216	0.242808
101	86	0.878839	0.744803	1.78205	12.7581	2.72647	767.61	0.240687
102	86	0.884705	0.742509	1.78403	12.7539	2.71799	767.072	0.238646
103	86	0.890721	0.740161	1.78621	12.7448	2.70867	766.48	0.236567
104	86	0.896819	0.737786	1.7885	12.7331	2.69891	765.859	0.234473
105	86	0.9027	0.7355	1.79051	12.7284	2.69038	765.314	0.232466
106	86	0.908698	0.733172	1.79267	12.7198	2.68121	764.727	0.230432
107	86	0.914789	0.730814	1.79496	12.7083	2.67154	764.106	0.22838
108	86	0.919672	0.728926	1.7968	12.6989	2.66379	763.607	0.226745
109	86	0.925637	0.726625	1.79891	12.692	2.65492	763.035	0.224759
110	86	0.930608	0.72471	1.80086	12.6802	2.64677	762.507	0.223114
111	86	0.936758	0.722346	1.80322	12.6674	2.63693	761.869	0.221092
112	86	0.942642	0.720088	1.80525	12.6625	2.62849	761.32	0.21917
113	86	0.947579	0.718196	1.80715	12.6518	2.62057	760.804	0.217566
114	86	0.953708	0.715853	1.8095	12.6393	2.61085	760.169	0.215587
115	86	0.958693	0.71395	1.81147	12.6273	2.60274	759.637	0.213988
116	86	0.963557	0.712096	1.81326	12.6196	2.59534	759.151	0.212436
117	86	0.969642	0.70978	1.81557	12.6082	2.58589	758.529	0.210506
118	86	0.974709	0.707856	1.81764	12.5937	2.57741	757.969	0.20891
119	86	0.980734	0.705571	1.81988	12.5839	2.56826	757.363	0.207022
120	86	0.985637	0.703715	1.82175	12.5744	2.56066	756.859	0.205496
121	86	0.990673	0.701811	1.82378	12.5611	2.55242	756.31	0.203937
