i	j	x	r	mach	theta	press	temp	Massflow
38	242	0.847099	0.729999	1.73665	12.512	85.4483	1660.96	4.79788
39	242	0.867022	0.721717	1.74373	12.4944	84.5104	1656.78	4.65143
40	242	0.88725	0.713369	1.75118	12.4696	83.5346	1652.39	4.50604
41	242	0.907526	0.705061	1.75872	12.4433	82.556	1647.95	4.36364
42	242	0.927762	0.696828	1.76628	12.417	81.5852	1643.5	4.22479
43	242	0.94849	0.688456	1.77443	12.3782	80.5501	1638.71	4.0859
44	242	0.969064	0.680204	1.7825	12.3412	79.5361	1633.98	3.95136
45	242	0.989803	0.671945	1.79084	12.2982	78.4997	1629.09	3.81903
46	242	1.01043	0.663785	1.79919	12.2548	77.4744	1624.2	3.6906
47	242	1.03165	0.655451	1.80825	12.1954	76.3737	1618.9	3.56187
48	242	1.05265	0.647259	1.81724	12.1369	75.2964	1613.66	3.43774
49	242	1.07366	0.639112	1.82641	12.0735	74.2109	1608.31	3.31671
50	242	1.0944	0.631126	1.83549	12.011	73.1508	1603.03	3.20039
51	242	1.11541	0.623088	1.84502	11.9372	72.0511	1597.5	3.08566
52	242	1.13635	0.615119	1.85472	11.858	70.9475	1591.87	2.9743
53	242	1.15112	0.60953	1.86205	11.7869	70.1242	1587.63	2.89764
54	242	1.15282	0.608886	1.86327	11.7667	69.9878	1586.93	2.88889
55	242	1.15806	0.606909	1.86622	11.7299	69.6586	1585.22	2.86215
56	242	1.16644	0.60375	1.87047	11.6865	69.188	1582.77	2.81976
57	242	1.17148	0.601857	1.87325	11.653	68.8812	1581.16	2.79455
58	242	1.17709	0.599746	1.8763	11.6172	68.5458	1579.4	2.76663
59	242	1.18315	0.597472	1.87972	11.5747	68.1723	1577.43	2.73675
60	242	1.19259	0.593934	1.88445	11.5271	67.6578	1574.7	2.6907
61	242	1.19913	0.591486	1.88792	11.4882	67.2835	1572.71	2.65913
62	242	1.21255	0.586479	1.89435	11.4302	66.5938	1569.01	2.59528
63	242	1.21988	0.583751	1.89814	11.3896	66.19	1566.83	2.5609
64	242	1.22732	0.580987	1.90189	11.3516	65.793	1564.68	2.52635
65	242	1.23819	0.576954	1.90729	11.2986	65.2249	1561.58	2.47647
66	242	1.24598	0.574071	1.91129	11.2565	64.8067	1559.29	2.4412
67	242	1.25354	0.57128	1.91511	11.2175	64.4097	1557.1	2.40736
68	242	1.26803	0.565938	1.92246	11.1423	63.6526	1552.9	2.34343
69	242	1.27583	0.56307	1.92656	11.0971	63.2331	1550.56	2.30957
70	242	1.28384	0.560131	1.93085	11.0482	62.7972	1548.11	2.27519
71	242	1.29231	0.557025	1.93556	10.9912	62.3224	1545.43	2.23925
72	242	1.30619	0.551949	1.9438	10.8807	61.4988	1540.74	2.18139
73	242	1.3149	0.548767	1.94861	10.8226	61.0226	1538	2.14566
74	242	1.32391	0.545481	1.95372	10.7582	60.5203	1535.1	2.10921
75	242	1.33214	0.542483	1.95817	10.7059	60.0854	1532.57	2.07633
76	242	1.34815	0.536659	1.9671	10.5959	59.2224	1527.52	2.01346
77	242	1.35619	0.53374	1.97147	10.5443	58.8045	1525.05	1.98246
78	242	1.36445	0.530748	1.97606	10.4879	58.3681	1522.45	1.95102
79	242	1.37231	0.527901	1.98033	10.4374	57.9652	1520.05	1.92144
80	242	1.38034	0.525	1.98477	10.383	57.5481	1517.54	1.8916
81	242	1.39124	0.521061	1.99072	10.312	56.9946	1514.2	1.85161
82	242	1.3991	0.518225	1.99506	10.2591	56.5936	1511.75	1.82319
83	242	1.40677	0.515465	1.99925	10.209	56.2095	1509.4	1.7958
84	242	1.41446	0.512694	2.00349	10.1573	55.8224	1507.02	1.76861
85	242	1.42201	0.509982	2.00762	10.1076	55.4484	1504.71	1.74227
86	242	1.4366	0.504743	2.01566	10.0096	54.726	1500.21	1.69217
87	242	1.44407	0.502064	2.01976	9.95977	54.3607	1497.92	1.66694
88	242	1.45153	0.499391	2.02388	9.90939	53.9964	1495.62	1.64203
89	242	1.4589	0.496755	2.02793	9.86008	53.6403	1493.36	1.61771
90	242	1.46625	0.494127	2.03199	9.81033	53.2857	1491.1	1.59372
