i	j	x	r	mach	theta	press	temp	massflow
0	195	0.178896	1.01613	1.45557	10.3055	130.264	1828.92	11.4416
0	196	0.179755	1.01629	1.45728	10.3555	129.944	1827.89	11.4416
0	197	0.180613	1.01645	1.45899	10.4055	129.625	1826.87	11.4416
0	198	0.18178	1.01666	1.46132	10.4735	129.191	1825.47	11.4416
0	199	0.182638	1.01682	1.46305	10.5235	128.87	1824.43	11.4416
0	200	0.183496	1.01698	1.46478	10.5735	128.55	1823.4	11.4416
0	201	0.184354	1.01714	1.4665	10.6235	128.231	1822.36	11.4416
0	202	0.185212	1.0173	1.46823	10.6735	127.912	1821.32	11.4416
0	203	0.186069	1.01746	1.46996	10.7235	127.593	1820.29	11.4416
0	204	0.186926	1.01763	1.47168	10.7735	127.276	1819.25	11.4416
0	205	0.187784	1.01779	1.47341	10.8235	126.959	1818.21	11.4416
0	206	0.188641	1.01795	1.47513	10.8735	126.642	1817.18	11.4416
0	207	0.189498	1.01812	1.47686	10.9235	126.327	1816.14	11.4416
0	208	0.190354	1.01828	1.47859	10.9735	126.012	1815.11	11.4416
0	209	0.191211	1.01845	1.48031	11.0235	125.697	1814.07	11.4416
0	210	0.192068	1.01862	1.48204	11.0735	125.383	1813.03	11.4416
0	211	0.192924	1.01879	1.48376	11.1235	125.07	1812	11.4416
0	212	0.19378	1.01896	1.48549	11.1735	124.757	1810.96	11.4416
0	213	0.194636	1.01912	1.48721	11.2235	124.445	1809.93	11.4416
0	214	0.195492	1.01929	1.48894	11.2735	124.134	1808.89	11.4416
0	215	0.196348	1.01947	1.49066	11.3235	123.823	1807.85	11.4416
0	216	0.197604	1.01972	1.4932	11.3969	123.368	1806.33	11.4416
0	217	0.198459	1.01989	1.49493	11.4469	123.056	1805.29	11.4416
0	218	0.199314	1.02006	1.49667	11.4969	122.745	1804.25	11.4416
0	219	0.200169	1.02024	1.49841	11.5469	122.434	1803.2	11.4416
0	220	0.201024	1.02041	1.50015	11.5969	122.125	1802.16	11.4416
0	221	0.201879	1.02059	1.50189	11.6469	121.815	1801.12	11.4416
0	222	0.202734	1.02077	1.50362	11.6969	121.507	1800.07	11.4416
0	223	0.203588	1.02094	1.50536	11.7469	121.199	1799.03	11.4416
0	224	0.204442	1.02112	1.5071	11.7969	120.891	1797.99	11.4416
0	225	0.205297	1.0213	1.50884	11.8469	120.584	1796.94	11.4416
0	226	0.206151	1.02148	1.51058	11.8969	120.278	1795.9	11.4416
0	227	0.207004	1.02166	1.51231	11.9469	119.973	1794.86	11.4416
0	228	0.207858	1.02184	1.51405	11.9969	119.668	1793.81	11.4416
0	229	0.208712	1.02202	1.51579	12.0469	119.363	1792.77	11.4416
0	230	0.209565	1.02221	1.51753	12.0969	119.06	1791.72	11.4416
0	231	0.210418	1.02239	1.51926	12.1469	118.756	1790.68	11.4416
0	232	0.211271	1.02257	1.521	12.1969	118.454	1789.64	11.4416
0	233	0.212124	1.02276	1.52274	12.2469	118.152	1788.59	11.4416
0	234	0.212977	1.02294	1.52448	12.2969	117.85	1787.55	11.4416
0	235	0.214373	1.02325	1.52732	12.3787	117.358	1785.84	11.4416
0	236	0.215225	1.02344	1.52907	12.4287	117.056	1784.79	11.4416
0	237	0.216077	1.02362	1.53082	12.4787	116.755	1783.74	11.4416
0	238	0.216929	1.02381	1.53257	12.5287	116.454	1782.69	11.4416
0	239	0.217781	1.024	1.53432	12.5787	116.154	1781.64	11.4416
0	240	0.218633	1.02419	1.53607	12.6287	115.855	1780.59	11.4416
0	241	0.219484	1.02438	1.53782	12.6787	115.556	1779.54	11.4416
0	242	0.219921	1.02448	1.53872	12.7044	115.403	1779	11.4416
