i	j	x	r	mach	theta	press	temp
169	88	2.3981	0.0955477	2.66874	1.62105	18.3966	1618.69
170	88	2.413	0.0900059	2.67729	1.50024	18.1337	1613.38
171	88	2.42792	0.0844396	2.68581	1.37876	17.8754	1608.1
172	88	2.44666	0.0774271	2.69642	1.22597	17.559	1601.55
173	88	2.46167	0.0717944	2.70484	1.10305	17.3118	1596.37
174	88	2.47671	0.0661366	2.71319	0.979491	17.0704	1591.26
175	88	2.49177	0.0604521	2.72145	0.854975	16.8347	1586.21
176	88	2.50686	0.0547405	2.7296	0.729424	16.6055	1581.25
177	88	2.52198	0.0490007	2.73761	0.602507	16.3834	1576.39
178	88	2.53712	0.0432316	2.74542	0.473919	16.1694	1571.67
179	88	2.5629	0.033362	2.75799	0.250292	15.8313	1564.1
180	88	2.57814	0.0274973	2.76475	0.11535	15.6525	1560.04
181	88	2.59339	0.0216067	2.76985	0	15.5188	1556.99
182	88	2.59772	0.01993	2.768	0	15.5672	1558.1
183	88	2.64916	0	2.768	0	15.5672	1558.1

0	89	0.111138	1.0153	1.53786	12.745	115.55	2463.08
1	89	0.111837	1.01493	1.53789	12.7505	115.545	2463.05
2	89	0.116647	1.0124	1.53815	12.7863	115.501	2462.84
3	89	0.121623	1.00978	1.53849	12.8212	115.443	2462.56
4	89	0.126766	1.00708	1.53891	12.8551	115.37	2462.2
5	89	0.132078	1.0043	1.53943	12.888	115.282	2461.77
6	89	0.13756	1.00143	1.54003	12.9198	115.18	2461.27
7	89	0.143213	0.998483	1.54073	12.9504	115.061	2460.7
8	89	0.149037	0.995452	1.54152	12.9799	114.928	2460.04
9	89	0.155034	0.992339	1.5424	13.0083	114.778	2459.31
10	89	0.161203	0.989144	1.54338	13.0354	114.612	2458.5
11	89	0.167546	0.985867	1.54445	13.0613	114.43	2457.6
12	89	0.174063	0.98251	1.54562	13.086	114.232	2456.63
13	89	0.180753	0.979072	1.54689	13.1096	114.018	2455.58
14	89	0.187618	0.975554	1.54825	13.1319	113.788	2454.45
15	89	0.194655	0.971958	1.54971	13.1531	113.543	2453.24
16	89	0.201866	0.968284	1.55126	13.1732	113.282	2451.95
17	89	0.20925	0.964533	1.55291	13.1921	113.005	2450.58
18	89	0.216805	0.960706	1.55465	13.21	112.714	2449.14
19	89	0.224532	0.956806	1.55648	13.2269	112.408	2447.62
20	89	0.232428	0.952832	1.5584	13.2427	112.088	2446.02
21	89	0.240494	0.948787	1.56041	13.2576	111.753	2444.35
22	89	0.248727	0.944671	1.56251	13.2717	111.405	2442.61
23	89	0.257126	0.940487	1.56469	13.2848	111.044	2440.8
24	89	0.26569	0.936236	1.56696	13.2971	110.669	2438.91
25	89	0.274417	0.93192	1.56931	13.3086	110.282	2436.96
26	89	0.283305	0.92754	1.57175	13.3194	109.882	2434.94
27	89	0.292354	0.923097	1.57426	13.3294	109.471	2432.85
28	89	0.30156	0.918594	1.57686	13.3387	109.047	2430.7
29	89	0.310923	0.914032	1.57953	13.3474	108.612	2428.48
30	89	0.320441	0.909414	1.58228	13.3554	108.166	2426.2
31	89	0.330111	0.904739	1.58511	13.3627	107.709	2423.85
32	89	0.339933	0.900011	1.58802	13.3694	107.241	2421.44
33	89	0.349904	0.895231	1.591	13.3754	106.763	2418.97
34	89	0.360024	0.8904	1.59406	13.3807	106.274	2416.44
35	89	0.37029	0.88552	1.5972	13.3854	105.774	2413.84
36	89	0.380701	0.880592	1.60041	13.3895	105.265	2411.17
37	89	0.391255	0.875618	1.6037	13.3928	104.745	2408.45
38	89	0.401952	0.8706	1.60707	13.3953	104.214	2405.66
39	89	0.41279	0.865538	1.61052	13.3971	103.674	2402.8
40	89	0.423768	0.860434	1.61405	13.3981	103.124	2399.88
41	89	0.434885	0.855288	1.61766	13.3983	102.563	2396.89
42	89	0.44614	0.850104	1.62135	13.3975	101.992	2393.84
43	89	0.457532	0.84488	1.62513	13.3959	101.41	2390.71
44	89	0.46906	0.83962	1.62899	13.3932	100.819	2387.52
45	89	0.480724	0.834323	1.63294	13.3894	100.217	2384.26
46	89	0.492522	0.82899	1.63698	13.3846	99.604	2380.92
47	89	0.504455	0.823623	1.64111	13.3786	98.9809	2377.51
48	89	0.516521	0.818223	1.64533	13.3714	98.3472	2374.02
49	89	0.52872	0.812791	1.64965	13.3629	97.7029	2370.46
50	89	0.541052	0.807326	1.65406	13.353	97.0479	2366.82
51	89	0.553516	0.801831	1.65856	13.3418	96.3822	2363.1
52	89	0.566111	0.796306	1.66317	13.3291	95.7059	2359.3
53	89	0.578836	0.790753	1.66788	13.3149	95.0189	2355.42
54	89	0.591692	0.785171	1.67269	13.2991	94.3213	2351.46
55	89	0.604677	0.779562	1.6776	13.2817	93.6131	2347.42
56	89	0.617791	0.773927	1.68262	13.2626	92.8944	2343.29
57	89	0.631032	0.768266	1.68774	13.2418	92.1654	2339.07
58	89	0.6444	0.762581	1.69298	13.2193	91.4262	2334.77
59	89	0.657894	0.756872	1.69831	13.1949	90.6768	2330.39
60	89	0.671512	0.75114	1.70376	13.1686	89.9176	2325.91
61	89	0.685254	0.745387	1.70932	13.1405	89.1486	2321.36
62	89	0.699118	0.739613	1.71499	13.1104	88.3702	2316.71
63	89	0.712763	0.733959	1.72029	13.09	87.647	2312.36
64	89	0.726206	0.728419	1.72531	13.0769	86.9668	2308.25
65	89	0.739316	0.723044	1.73001	13.071	86.3341	2304.4
66	89	0.752816	0.717538	1.73522	13.0536	85.6377	2300.15
67	89	0.766232	0.712094	1.74033	13.0388	84.9592	2295.97
68	89	0.779725	0.706648	1.74553	13.0226	84.2736	2291.72
69	89	0.793577	0.701085	1.75115	12.9972	83.5379	2287.14
70	89	0.807267	0.695616	1.75656	12.9772	82.8351	2282.73
71	89	0.821028	0.690148	1.76205	12.956	82.1275	2278.26
72	89	0.835153	0.684564	1.76796	12.9256	81.3707	2273.44
73	89	0.849423	0.678952	1.77404	12.8919	80.5991	2268.5
74	89	0.863232	0.673549	1.77957	12.8711	79.9029	2264.01
75	89	0.877501	0.667994	1.78565	12.8383	79.1435	2259.08
76	89	0.892034	0.662366	1.79204	12.7986	78.3509	2253.89
77	89	0.906604	0.656752	1.79849	12.7579	77.559	2248.66
78	89	0.920688	0.651353	1.80438	12.7302	76.8421	2243.9
79	89	0.935222	0.645809	1.81083	12.6902	76.0642	2238.69
80	89	0.949997	0.640202	1.81758	12.6433	75.2564	2233.23
81	89	0.964898	0.634574	1.82451	12.5925	74.4352	2227.64
82	89	0.979299	0.629162	1.83088	12.5541	73.6872	2222.51
83	89	0.993837	0.623724	1.83746	12.5111	72.9217	2217.21
84	89	1.00868	0.6182	1.84445	12.4589	72.1168	2211.6
